timestamp,smokeLevel,tempCeiling
2026-09-20T06:00:00,376.2,24.7
2026-09-20T06:05:00,433.1,25.3
2026-09-20T06:10:00,329.1,21.0
2026-09-20T06:15:00,410.9,24.2
2026-09-20T06:20:00,380.7,24.2
2026-09-20T06:25:00,363.5,24.2
2026-09-20T06:30:00,353.3,25.8
2026-09-20T06:35:00,334.3,24.6
2026-09-20T06:40:00,425.7,20.9
2026-09-20T06:45:00,375.5,24.6
2026-09-20T06:50:00,342.8,24.2
2026-09-20T06:55:00,334.6,20.1
2026-09-20T07:00:00,447.1,22.7
2026-09-20T07:05:00,325.7,24.4
2026-09-20T07:10:00,350.1,21.8
2026-09-20T07:15:00,410.7,26.0
2026-09-20T07:20:00,1474.3,48.3
2026-09-20T07:25:00,2202.4,56.8
2026-09-20T07:30:00,1616.6,46.8
2026-09-20T07:35:00,2100.9,52.6
2026-09-20T07:40:00,2397.8,57.7
2026-09-20T07:45:00,2179.4,58.8
2026-09-20T07:50:00,1279.0,45.9
2026-09-20T07:55:00,2281.2,55.8
2026-09-20T08:00:00,1656.7,48.7
2026-09-20T08:05:00,2202.1,49.3
2026-09-20T08:10:00,2283.4,57.9
2026-09-20T08:15:00,2269.4,52.9
2026-09-20T08:20:00,484.6,21.5
2026-09-20T08:25:00,464.9,20.1
2026-09-20T08:30:00,320.7,25.0
2026-09-20T08:35:00,475.1,23.2
2026-09-20T08:40:00,434.9,20.0
2026-09-20T08:45:00,313.2,23.2
2026-09-20T08:50:00,303.0,24.3
2026-09-20T08:55:00,429.3,22.2
2026-09-20T09:00:00,407.3,23.8
2026-09-20T09:05:00,490.1,25.5
2026-09-20T09:10:00,434.4,21.7
2026-09-20T09:15:00,340.4,22.3
2026-09-20T09:20:00,367.7,23.6
2026-09-20T09:25:00,481.9,22.4
2026-09-20T09:30:00,481.3,21.0
2026-09-20T09:35:00,304.3,21.1
2026-09-20T09:40:00,493.2,21.6
2026-09-20T09:45:00,453.2,22.9
2026-09-20T09:50:00,482.2,22.1
2026-09-20T09:55:00,469.9,25.0
2026-09-20T10:00:00,316.7,23.0
2026-09-20T10:05:00,497.2,23.1
2026-09-20T10:10:00,341.2,22.7
2026-09-20T10:15:00,410.4,23.5
2026-09-20T10:20:00,447.2,25.4
2026-09-20T10:25:00,329.7,22.3
2026-09-20T10:30:00,339.3,24.0
2026-09-20T10:35:00,480.0,24.6
2026-09-20T10:40:00,475.7,21.5
2026-09-20T10:45:00,358.6,23.1
2026-09-20T10:50:00,366.6,22.7
2026-09-20T10:55:00,459.9,25.1
2026-09-20T11:00:00,329.6,21.9
2026-09-20T11:05:00,420.3,21.1
2026-09-20T11:10:00,359.0,20.6
2026-09-20T11:15:00,428.6,21.9
2026-09-20T11:20:00,439.2,21.5
2026-09-20T11:25:00,455.7,20.4
2026-09-20T11:30:00,402.0,24.5
2026-09-20T11:35:00,489.2,24.5
2026-09-20T11:40:00,459.1,22.3
2026-09-20T11:45:00,430.4,20.6
2026-09-20T11:50:00,417.1,22.7
2026-09-20T11:55:00,408.5,21.5
2026-09-20T12:00:00,325.9,23.8
2026-09-20T12:05:00,495.4,24.0
2026-09-20T12:10:00,349.9,24.7
2026-09-20T12:15:00,363.6,23.2
2026-09-20T12:20:00,375.2,20.7
2026-09-20T12:25:00,360.3,20.6
2026-09-20T12:30:00,348.3,24.9
2026-09-20T12:35:00,343.8,21.4
2026-09-20T12:40:00,433.1,20.3
2026-09-20T12:45:00,365.9,23.5
2026-09-20T12:50:00,492.8,22.7
2026-09-20T12:55:00,358.0,23.6
2026-09-20T13:00:00,423.6,20.2
2026-09-20T13:05:00,475.9,21.9
2026-09-20T13:10:00,388.4,21.4
2026-09-20T13:15:00,327.0,25.6
2026-09-20T13:20:00,384.0,21.6
2026-09-20T13:25:00,458.9,20.1
2026-09-20T13:30:00,481.5,23.6
2026-09-20T13:35:00,375.2,24.3
2026-09-20T13:40:00,332.8,25.9
2026-09-20T13:45:00,435.6,23.2
2026-09-20T13:50:00,392.9,23.0
2026-09-20T13:55:00,470.7,21.7
2026-09-20T14:00:00,314.5,21.3
2026-09-20T14:05:00,497.2,25.7
2026-09-20T14:10:00,463.8,20.1
2026-09-20T14:15:00,399.2,20.1
2026-09-20T14:20:00,305.0,25.3
2026-09-20T14:25:00,495.0,25.5
2026-09-20T14:30:00,389.7,23.6
2026-09-20T14:35:00,481.1,22.7
2026-09-20T14:40:00,468.9,22.3
2026-09-20T14:45:00,490.7,21.1
2026-09-20T14:50:00,305.2,23.7
2026-09-20T14:55:00,460.2,22.6
2026-09-20T15:00:00,493.4,22.7
2026-09-20T15:05:00,416.0,23.8
2026-09-20T15:10:00,423.0,20.6
2026-09-20T15:15:00,393.0,22.0
2026-09-20T15:20:00,484.3,24.9
2026-09-20T15:25:00,360.0,25.4
2026-09-20T15:30:00,347.9,25.5
2026-09-20T15:35:00,404.6,23.2
2026-09-20T15:40:00,436.2,22.9
2026-09-20T15:45:00,315.3,24.6
2026-09-20T15:50:00,344.4,23.4
2026-09-20T15:55:00,337.6,23.0
2026-09-20T16:00:00,335.8,24.3
2026-09-20T16:05:00,472.8,20.5
2026-09-20T16:10:00,347.2,24.8
2026-09-20T16:15:00,356.0,22.4
2026-09-20T16:20:00,460.7,23.6
2026-09-20T16:25:00,434.3,24.8
2026-09-20T16:30:00,497.0,25.3
2026-09-20T16:35:00,405.0,26.0
2026-09-20T16:40:00,400.7,24.3
2026-09-20T16:45:00,388.5,22.7
2026-09-20T16:50:00,375.1,22.7
2026-09-20T16:55:00,366.3,24.1
2026-09-20T17:00:00,331.3,22.9
2026-09-20T17:05:00,446.7,20.7
2026-09-20T17:10:00,325.9,20.4
2026-09-20T17:15:00,301.0,22.9
2026-09-20T17:20:00,445.3,23.6
2026-09-20T17:25:00,344.2,20.9
2026-09-20T17:30:00,375.4,25.2
2026-09-20T17:35:00,482.9,21.7
2026-09-20T17:40:00,385.4,23.6
2026-09-20T17:45:00,325.0,24.8
2026-09-20T17:50:00,310.4,23.0
2026-09-20T17:55:00,319.1,25.4
2026-09-20T18:00:00,371.8,23.1
2026-09-20T18:05:00,335.8,20.6
2026-09-20T18:10:00,470.9,23.0
2026-09-20T18:15:00,471.4,24.3
2026-09-20T18:20:00,320.0,22.1
2026-09-20T18:25:00,489.2,23.3
2026-09-20T18:30:00,493.0,22.2
2026-09-20T18:35:00,313.2,22.2
2026-09-20T18:40:00,322.7,24.8
2026-09-20T18:45:00,342.4,20.5
2026-09-20T18:50:00,390.5,23.1
2026-09-20T18:55:00,445.6,24.9
2026-09-20T19:00:00,441.1,21.8
2026-09-20T19:05:00,420.7,25.6
2026-09-20T19:10:00,496.4,22.7
2026-09-20T19:15:00,443.6,20.4
2026-09-20T19:20:00,446.7,23.3
2026-09-20T19:25:00,433.1,22.4
2026-09-20T19:30:00,407.1,25.9
2026-09-20T19:35:00,490.9,25.2
2026-09-20T19:40:00,308.1,24.1
2026-09-20T19:45:00,344.2,22.8
2026-09-20T19:50:00,336.5,21.5
2026-09-20T19:55:00,300.1,22.3
2026-09-20T20:00:00,383.9,20.7
2026-09-20T20:05:00,498.6,22.4
2026-09-20T20:10:00,421.9,20.3
2026-09-20T20:15:00,448.2,22.5
2026-09-20T20:20:00,430.6,24.5
2026-09-20T20:25:00,318.5,20.1
2026-09-20T20:30:00,398.1,22.0
2026-09-20T20:35:00,300.6,23.3
2026-09-20T20:40:00,310.2,25.6
2026-09-20T20:45:00,413.6,20.4
2026-09-20T20:50:00,422.0,24.7
2026-09-20T20:55:00,496.7,22.8
2026-09-20T21:00:00,467.1,20.5
2026-09-20T21:05:00,367.4,21.9
2026-09-20T21:10:00,496.8,21.8
2026-09-20T21:15:00,395.4,21.4
2026-09-20T21:20:00,339.3,20.7
2026-09-20T21:25:00,408.2,22.7
2026-09-20T21:30:00,448.8,25.7
2026-09-20T21:35:00,483.4,24.7
2026-09-20T21:40:00,483.8,21.0
2026-09-20T21:45:00,450.0,25.6
2026-09-20T21:50:00,370.1,24.5
2026-09-20T21:55:00,460.3,23.4
2026-09-20T22:00:00,412.6,21.6
2026-09-22T06:00:00,373.7,21.8
2026-09-22T06:05:00,320.8,24.7
2026-09-22T06:10:00,336.4,22.1
2026-09-22T06:15:00,1235.3,51.4
2026-09-22T06:20:00,2008.1,46.9
2026-09-22T06:25:00,1911.3,57.8
2026-09-22T06:30:00,1346.6,57.3
2026-09-22T06:35:00,2482.6,45.7
2026-09-22T06:40:00,1609.8,54.8
2026-09-22T06:45:00,1660.6,59.1
2026-09-22T06:50:00,1916.2,56.9
2026-09-22T06:55:00,1526.2,59.4
2026-09-22T07:00:00,2254.7,50.2
2026-09-22T07:05:00,1723.5,49.0
2026-09-22T07:10:00,1276.2,59.7
2026-09-22T07:15:00,419.7,22.6
2026-09-22T07:20:00,328.8,21.2
2026-09-22T07:25:00,315.2,24.9
2026-09-22T07:30:00,402.1,21.8
2026-09-22T07:35:00,334.7,24.9
2026-09-22T07:40:00,404.5,21.6
2026-09-22T07:45:00,455.7,22.9
2026-09-22T07:50:00,487.7,24.7
2026-09-22T07:55:00,495.3,22.5
2026-09-22T08:00:00,341.0,21.3
2026-09-22T08:05:00,315.0,21.7
2026-09-22T08:10:00,484.6,23.9
2026-09-22T08:15:00,317.1,20.5
2026-09-22T08:20:00,455.8,20.4
2026-09-22T08:25:00,485.3,22.9
2026-09-22T08:30:00,352.5,20.6
2026-09-22T08:35:00,415.4,26.0
2026-09-22T08:40:00,433.7,25.9
2026-09-22T08:45:00,439.1,25.5
2026-09-22T08:50:00,309.5,25.6
2026-09-22T08:55:00,467.4,25.8
2026-09-22T09:00:00,348.5,25.2
2026-09-22T09:05:00,426.0,20.2
2026-09-22T09:10:00,455.2,23.8
2026-09-22T09:15:00,301.5,21.1
2026-09-22T09:20:00,486.8,23.1
2026-09-22T09:25:00,349.0,23.5
2026-09-22T09:30:00,333.3,24.7
2026-09-22T09:35:00,304.5,23.6
2026-09-22T09:40:00,456.1,25.4
2026-09-22T09:45:00,354.8,22.3
2026-09-22T09:50:00,404.1,20.3
2026-09-22T09:55:00,409.6,21.1
2026-09-22T10:00:00,324.6,24.0
2026-09-22T10:05:00,343.2,21.6
2026-09-22T10:10:00,385.1,25.8
2026-09-22T10:15:00,367.0,23.2
2026-09-22T10:20:00,301.4,25.9
2026-09-22T10:25:00,491.3,25.8
2026-09-22T10:30:00,446.4,21.5
2026-09-22T10:35:00,429.1,21.7
2026-09-22T10:40:00,428.9,23.0
2026-09-22T10:45:00,305.4,24.7
2026-09-22T10:50:00,303.8,22.1
2026-09-22T10:55:00,308.2,23.9
2026-09-22T11:00:00,345.1,25.6
2026-09-22T11:05:00,469.2,20.4
2026-09-22T11:10:00,307.5,22.4
2026-09-22T11:15:00,468.0,20.9
2026-09-22T11:20:00,481.1,20.2
2026-09-22T11:25:00,450.9,21.4
2026-09-22T11:30:00,375.8,23.1
2026-09-22T11:35:00,492.4,22.2
2026-09-22T11:40:00,377.2,25.6
2026-09-22T11:45:00,470.2,20.9
2026-09-22T11:50:00,483.5,24.7
2026-09-22T11:55:00,474.7,23.4
2026-09-22T12:00:00,346.2,23.9
2026-09-22T12:05:00,496.2,24.3
2026-09-22T12:10:00,433.7,23.8
2026-09-22T12:15:00,385.4,24.5
2026-09-22T12:20:00,336.3,25.8
2026-09-22T12:25:00,330.8,21.8
2026-09-22T12:30:00,456.1,23.5
2026-09-22T12:35:00,407.9,24.4
2026-09-22T12:40:00,494.8,24.5
2026-09-22T12:45:00,491.8,21.5
2026-09-22T12:50:00,377.9,23.0
2026-09-22T12:55:00,408.3,22.5
2026-09-22T13:00:00,434.0,22.2
2026-09-22T13:05:00,437.8,22.1
